Card Code,Card Name,Song Title,Canonical Short QR URL,Legacy Short QR URL,Target URL
10d,10 of Diamonds,Rock This Punk (tonight),https://stvcentral.com/q/10d,,https://stvcentral.com/song/rockthispunktonight
6d,6 of Diamonds,Underground Heroes,https://stvcentral.com/q/6d,,https://stvcentral.com/song/undergroundheroes
Jt,Jack of Clubs,Don Quichotte (The Mirror Wars),https://stvcentral.com/q/jt,,https://stvcentral.com/song/donquichottethemirrorwars
10t,10 of Clubs,Permission Slip Nation,https://stvcentral.com/q/10t,,https://stvcentral.com/song/permissionslipnation
5t,5 of Clubs,The Illusion of Being,https://stvcentral.com/q/5t,,https://stvcentral.com/song/theillusionofbeing
4t,4 of Clubs,What’s haunting you,https://stvcentral.com/q/4t,,https://stvcentral.com/song/whatshauntingyou
Qt,Queen of Clubs,No One’s a Prophet at Home (Out of Phase),https://stvcentral.com/q/qt,,https://stvcentral.com/song/noonesaprophetathomeoutofphase
6t,6 of Clubs,A wish in the night,https://stvcentral.com/q/6t,,https://stvcentral.com/song/awishinthenight
Kt,King of Clubs,Specters of The Throne,https://stvcentral.com/q/kt,,https://stvcentral.com/song/spectersofthethrone
8t,8 of Clubs,360 by 360 view,https://stvcentral.com/q/8t,,https://stvcentral.com/song/360by360view
3t,3 of Clubs,Not Special,https://stvcentral.com/q/3t,,https://stvcentral.com/song/notspecial
2t,2 of Clubs,Minted Oligarchs,https://stvcentral.com/q/2t,,https://stvcentral.com/song/mintedoligarchs
7t,7 of Clubs,Why Do You Care,https://stvcentral.com/q/7t,,https://stvcentral.com/song/whydoyoucare
At,Ace of Clubs,Paper Empire,https://stvcentral.com/q/at,,https://stvcentral.com/song/paperempire
9t,9 of Clubs,Verdict Losing,https://stvcentral.com/q/9t,,https://stvcentral.com/song/verdictlosing
Joker 1,Joker 1,Flow state,https://stvcentral.com/q/joker1,https://stvcentral.com/q/joker 1,https://stvcentral.com/song/flowstate
Joker 2,Joker 2,THE FUTURE LOVES VIN-CENT,https://stvcentral.com/q/joker2,https://stvcentral.com/q/joker 2,https://stvcentral.com/song/thefuturelovesvincent
